case_id,value,timestamp,activity,source_log
A1,0.0,2006-07-23 22:00:00+00:00,Create Fine,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A1,,2006-12-04 23:00:00+00:00,Send Fine,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A100,0.0,2006-08-01 22:00:00+00:00,Create Fine,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A100,,2006-12-11 23:00:00+00:00,Send Fine,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A100,,2007-01-14 23:00:00+00:00,Insert Fine Notification,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A100,,2007-03-15 23:00:00+00:00,Add penalty,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A100,,2009-03-29 22:00:00+00:00,Send for Credit Collection,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10000,0.0,2007-03-08 23:00:00+00:00,Create Fine,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10000,,2007-07-16 22:00:00+00:00,Send Fine,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10000,,2007-08-01 22:00:00+00:00,Insert Fine Notification,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10000,,2007-09-30 22:00:00+00:00,Add penalty,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10000,87.0,2008-09-08 22:00:00+00:00,Payment,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10001,0.0,2007-03-18 23:00:00+00:00,Create Fine,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10001,,2007-07-16 22:00:00+00:00,Send Fine,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10001,,2007-07-24 22:00:00+00:00,Insert Fine Notification,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10001,,2007-08-01 22:00:00+00:00,Insert Date Appeal to Prefecture,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10001,,2007-09-22 22:00:00+00:00,Add penalty,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10001,,2007-09-23 22:00:00+00:00,Send Appeal to Prefecture,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10004,0.0,2007-03-19 23:00:00+00:00,Create Fine,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10004,,2007-07-16 22:00:00+00:00,Send Fine,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10004,,2007-07-23 22:00:00+00:00,Insert Fine Notification,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10004,,2007-09-21 22:00:00+00:00,Add penalty,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10004,,2009-03-29 22:00:00+00:00,Send for Credit Collection,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10005,0.0,2007-03-19 23:00:00+00:00,Create Fine,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10005,36.0,2007-03-20 23:00:00+00:00,Payment,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10007,0.0,2007-03-19 23:00:00+00:00,Create Fine,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10007,36.0,2007-03-22 23:00:00+00:00,Payment,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10008,0.0,2007-03-19 23:00:00+00:00,Create Fine,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10008,,2007-07-16 22:00:00+00:00,Send Fine,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10008,,2007-08-01 22:00:00+00:00,Insert Fine Notification,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10008,,2007-09-30 22:00:00+00:00,Add penalty,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10008,,2009-03-29 22:00:00+00:00,Send for Credit Collection,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10009,0.0,2007-03-19 23:00:00+00:00,Create Fine,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10009,,2007-07-16 22:00:00+00:00,Send Fine,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10009,,2007-07-22 22:00:00+00:00,Insert Fine Notification,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10009,,2007-09-20 22:00:00+00:00,Add penalty,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10009,35.0,2007-09-30 22:00:00+00:00,Payment,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10009,57.0,2007-10-30 23:00:00+00:00,Payment,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A1001,0.0,2006-08-01 22:00:00+00:00,Create Fine,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A1001,,2006-12-11 23:00:00+00:00,Send Fine,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A1001,,2006-12-30 23:00:00+00:00,Insert Fine Notification,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A1001,,2007-02-28 23:00:00+00:00,Add penalty,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A1001,,2009-03-29 22:00:00+00:00,Send for Credit Collection,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10010,0.0,2007-03-19 23:00:00+00:00,Create Fine,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10010,,2007-07-16 22:00:00+00:00,Send Fine,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10010,,2007-07-22 22:00:00+00:00,Insert Fine Notification,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10010,,2007-09-20 22:00:00+00:00,Add penalty,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10010,,2009-03-29 22:00:00+00:00,Send for Credit Collection,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10011,0.0,2007-03-20 23:00:00+00:00,Create Fine,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10011,,2007-09-28 22:00:00+00:00,Send Fine,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10011,,2007-10-11 22:00:00+00:00,Insert Fine Notification,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10011,,2007-12-10 23:00:00+00:00,Add penalty,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10011,,2009-03-29 22:00:00+00:00,Send for Credit Collection,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10012,0.0,2007-03-20 23:00:00+00:00,Create Fine,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10012,,2007-08-01 22:00:00+00:00,Send Fine,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10015,0.0,2007-03-20 23:00:00+00:00,Create Fine,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10015,,2007-08-01 22:00:00+00:00,Send Fine,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10015,,2007-08-18 22:00:00+00:00,Insert Fine Notification,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10015,,2007-10-17 22:00:00+00:00,Add penalty,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10015,,2009-03-29 22:00:00+00:00,Send for Credit Collection,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10018,0.0,2007-03-21 23:00:00+00:00,Create Fine,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10018,,2007-08-01 22:00:00+00:00,Send Fine,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10018,,2007-08-08 22:00:00+00:00,Insert Fine Notification,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10018,,2007-10-07 22:00:00+00:00,Add penalty,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10018,35.0,2007-10-07 22:00:00+00:00,Payment,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10019,0.0,2007-03-21 23:00:00+00:00,Create Fine,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10019,,2007-07-16 22:00:00+00:00,Send Fine,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10019,,2007-07-22 22:00:00+00:00,Insert Fine Notification,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10019,,2007-09-20 22:00:00+00:00,Add penalty,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A10019,,2009-03-29 22:00:00+00:00,Send for Credit Collection,example_logs\Road_Traffic_Fine_Management_Process_short.xes
A1002,0.0,2006-08-04 22:00:00+00:00,Create Fine,example_logs\Road_Traffic_Fine_Management_Process_short.xes
