case_id,value,timestamp,activity,source_log
17573444336527620,0.04834,2005-02-10 14:42:47.092206+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_simulation.xes
17573444336527620,29.29958,2005-04-17 04:31:18.092206+00:00,Payment,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_simulation.xes
17573444336538671,-0.05328,2006-09-08 22:57:26.810714+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_simulation.xes
17573444336538671,36.06286,2010-07-18 22:13:27.810714+00:00,Payment,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_simulation.xes
17573444336872132,0.03154,2005-09-14 11:10:58.808220+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_simulation.xes
17573444337004633,-0.00877,2005-01-07 22:33:04.120425+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_simulation.xes
17573444337159754,-0.01372,2001-09-30 18:59:21.126005+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_simulation.xes
17573444337159754,36.97722,2001-10-12 18:45:34.126005+00:00,Payment,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_simulation.xes
17573444337376455,0.08406,2004-09-16 23:48:10.040493+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_simulation.xes
17573444337463536,-0.01863,2005-11-14 06:31:02.931129+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_simulation.xes
17573444337601617,0.04756,2003-04-18 10:35:09.244364+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_simulation.xes
17573444337730368,-0.08637,2006-10-15 21:48:02.062761+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_simulation.xes
17573444337836319,-0.00884,2002-05-09 00:38:16.991630+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_simulation.xes
175734443380090110,0.02941,1995-08-04 15:37:35.028557+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_simulation.xes
175734443380090110,33.57502,1995-08-06 23:12:02.028557+00:00,Payment,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_simulation.xes
175734443381042311,-0.01598,1997-09-07 12:01:05.406889+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_simulation.xes
175734443382937912,-0.02843,2000-12-10 15:44:02.244209+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_simulation.xes
175734443382937912,82.83041,2001-03-01 10:21:41.244209+00:00,Payment,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_simulation.xes
175734443383938113,0.07056,2005-12-27 12:32:25.544691+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_simulation.xes
175734443383938113,40.61736,2006-01-04 15:57:17.544691+00:00,Payment,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_simulation.xes
175734443385912714,-0.08361,2009-11-07 00:35:40.684198+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_simulation.xes
175734443386868915,-0.03002,2009-06-02 14:52:23.103341+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_simulation.xes
175734443388692116,0.01026,2004-02-13 13:38:30.726025+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_simulation.xes
175734443388692116,35.35663,2004-02-19 15:20:12.726025+00:00,Payment,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_simulation.xes
175734443389707517,-0.0301,2009-03-03 13:57:02.873561+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_simulation.xes
175734443389707517,36.13625,2009-03-10 11:52:47.873561+00:00,Payment,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_simulation.xes
175734443391309718,0.01686,2008-08-27 01:46:14.095368+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_simulation.xes
175734443391309718,58.69427,2008-12-23 16:47:51.095368+00:00,Payment,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_simulation.xes
175734443392800619,0.03327,2002-07-07 17:43:43.080927+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_simulation.xes
