case_id,value,timestamp,activity,source_log
1757341681229310,-0.11783,2011-05-26 09:18:34.215036+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_no-petri.xes
1757341681229310,80.70775,2011-12-22 15:38:11.215036+00:00,Payment,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_no-petri.xes
17573416812549571,0.06448,2009-03-17 01:27:17.763988+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_no-petri.xes
17573416812718672,0.08876,2005-04-26 05:39:56.738984+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_no-petri.xes
17573416812718672,36.22188,2005-05-04 13:40:20.738984+00:00,Payment,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_no-petri.xes
17573416812804543,-0.00452,2004-03-13 05:56:28.478271+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_no-petri.xes
17573416812947024,0.00555,2000-01-17 10:29:24.259957+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_no-petri.xes
17573416813077035,0.06708,2004-11-03 23:58:46.362720+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_no-petri.xes
17573416813122956,-0.05494,2003-01-23 01:21:55.047540+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_no-petri.xes
17573416813401527,0.03142,2005-02-25 21:41:17.680509+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_no-petri.xes
1757341681358628,0.05254,2011-05-31 08:54:52.737906+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_no-petri.xes
17573416813773299,-0.00062,2008-11-14 10:02:39.625924+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_no-petri.xes
17573416813773299,89.9952,2008-11-24 05:07:54.625924+00:00,Payment,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_no-petri.xes
175734168139068310,-0.04865,2004-01-06 02:58:38.989697+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_no-petri.xes
175734168140350311,0.10845,1997-02-23 19:25:58.179397+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_no-petri.xes
175734168140350311,38.82327,1997-03-04 19:56:20.179397+00:00,Payment,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_no-petri.xes
175734168141875512,0.0178,2003-11-08 23:57:14.050320+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_no-petri.xes
175734168143784813,-0.05933,2004-11-23 16:36:45.442993+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_no-petri.xes
175734168146012114,-0.01608,2005-06-12 14:15:26.787114+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_no-petri.xes
17573416814719415,-0.03799,2005-02-16 20:03:47.918317+00:00,Create Fine,outputs/Road_Fine/evaluation/Road_Fine_log_11390_run-1_no-petri.xes
